id A,id B,Name Decomposition A,Name Decomposition B,Suffix Phone A,Suffix Phone B,Suffix Website A,Suffix Website B,Matching Score
11664,11664,{'ourco'},{'ourco'},70377661,70377661,ourcompanyapp.com,ourcompanyapp.com,1.0
11675,11675,"{'june', 'partners'}","{'june', 'partners'}",84176455,84176455,june-partners.com,june-partners.com,1.0
11679,11900,{'dotemu'},{'dotemu'},53176424,53176424,dotemu.com,dotemu.com,1.0
11683,11683,{'foodles'},{'foodles'},nan,nan,foodles.co,foodles.co,0.8461538461538461
11693,11693,{'coefficy'},{'coefficy'},77418075,77418075,coefficy.com,coefficy.com,1.0
11694,11694,"{'technologies', 'sa', 'vinci'}","{'technologies', 'sa', 'vinci'}",41379220,41379220,vinci-technologies.com,vinci-technologies.com,1.0
11703,11703,"{""zen'to""}","{""zen'to""}",80884900,80884900,zento.fr,zento.fr,1.0
11707,11707,"{'services', 'finamic'}","{'services', 'finamic'}",nan,nan,finamic.ch,finamic.ch,0.9166666666666666
11713,11713,{'wamiz'},{'wamiz'},72306601,72306601,wamiz.com,wamiz.com,1.0
11715,11715,{'avangarde'},{'avangarde'},nan,nan,avangarde.co,avangarde.co,1.0
11728,26950,{'axialys'},{'axialys'},70200200,70200200,axialys.com,axialys.com,0.8421052631578947
11734,11734,{'openip'},{'openip'},76710500,76710500,openip.fr,openip.fr,1.0
11744,11744,{'wefix'},{'wefix'},84792947,84792947,wefix.net,wefix.net,1.0
11764,11764,"{'paylogic', 'international'}","{'paylogic', 'international'}",87000100,87000100,paylogic.com,paylogic.com,1.0
11766,11766,"{'media', 'welcome'}","{'media', 'welcome'}",82835320,82835320,arthur-media.com,arthur-media.com,1.0
11800,52872,"{'jones', 'you', 'inc.', '&', 'mr'}","{'&', 'mr', 'jones', 'you'}",nan,nan,youandmrjones.com,youandmrjones.com,0.8
11805,11805,"{'capital', 'indiana'}","{'capital', 'indiana'}",nan,nan,indiana-capital.com,indiana-capital.com,1.0
11821,11821,{'maileva'},{'maileva'},10802801,10802801,maileva.com,maileva.com,1.0
11840,11840,{'souffl'},{'souffl'},42602719,42602719,souffl.com,souffl.com,1.0
11841,11841,"{'captain', 'dash'}","{'captain', 'dash'}",nan,nan,captaindash.com,captaindash.com,0.8461538461538461
11842,356865,{'clustree'},{'clustree'},72410954,nan,clustree.com,clustree.com,0.5789473684210527
11933,9691,"{'adamas', 'avocats'}","{'adamas', 'avocats'}",72411575,72411575,adamas-lawfirm.com,adamas-lawfirm.com,0.8421052631578947
